customer_id,first_name,last_name,email,phone,address,city,state,zip_code,country,date_registered,is_active
1,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,9402 Peterson Drives,Port Matthew,Colorado,50298,Bhutan,2024-08-02,True
2,Maurice,Baker,blairamanda@example.com,584-695-9310,16475 Mitchell Fords,Jacquelineland,Rhode Island,83728,Chile,2024-12-08,True
3,John,Ford,veronica83@example.net,903-405-6413x95376,38849 Hurst Locks Suite 328,Daviston,Delaware,20534,Niue,2024-03-09,True
4,Erin,Carlson,djames@example.net,280-618-4514x627,148 Eric Track,New Stephanie,North Dakota,00575,Netherlands Antilles,2024-07-07,True
5,Andrew,Hickman,john39@example.org,671-882-2782,346 Kim Path,Martinezbury,California,44814,Angola,2025-01-17,True
6,Jerry,Robinson,zimmermanbrian@example.org,4519834738,6311 Gomez Loop,Shieldston,Utah,86150,Oman,2024-01-24,True
7,Richard,Morgan,wrightjames@example.com,(362)247-3178,32677 Michelle Circle,South Aaron,Missouri,35261,Vanuatu,2025-06-09,True
8,Spencer,Henderson,smoore@example.org,4982050097,19136 Shelly Port,New Brooke,South Carolina,11246,Italy,2025-03-08,True
9,Annette,Stewart,james53@example.com,(524)675-1079x9118,1354 Samuel Plains,Cherylhaven,Alabama,88039,Svalbard & Jan Mayen Islands,2024-12-23,False
10,Sarah,Garcia,josephpreston@example.net,+1-924-649-3534,64005 Dana Greens,Lake Scott,Virginia,56558,Monaco,2023-11-21,True
11,Charles,Ware,amydavenport@example.net,+1-526-520-4505,8692 Michelle Union,South Angel,West Virginia,44041,Slovenia,2025-09-24,True
12,Leah,Shields,josephcobb@example.org,(707)633-7543x3036,5868 Crosby Crescent,Gregoryview,Arizona,14709,Nepal,2024-09-26,True
13,Jessica,Edwards,cruzbarbara@example.com,7607883561,484 Nguyen Square,Angelaborough,Nebraska,87654,Wallis and Futuna,2024-08-17,True
14,Kaitlin,Thompson,richard04@example.com,969.495.7773,8951 Emily Fork,East Andrew,Kansas,62778,New Zealand,2025-07-27,True
15,Charles,Perry,jennifercruz@example.com,220.516.3287,2788 Dodson Mills,Rivasside,New Hampshire,21362,Samoa,2025-08-04,True
16,Shannon,Walton,katie87@example.net,347.414.3455,62316 Rivera Mountain,Brownchester,Missouri,77057,Yemen,2025-04-05,True
17,Melissa,Cannon,wwoods@example.com,001-766-888-9373x46706,2980 Vargas Shore,North Dawnberg,New Jersey,24320,Australia,2024-05-22,False
18,Mark,Gibson,kathleen64@example.com,517-208-0531x003,27193 Lyons Trafficway,Garyville,Wyoming,21966,Georgia,2024-02-01,True
19,Anthony,Collins,tsanders@example.org,793-814-9190,85067 Ryan Lake Suite 262,Christinaside,Wyoming,63873,Lao People's Democratic Republic,2024-09-27,False
20,Jessica,Adams,mariahmiller@example.com,479.996.5075,4549 Peters Path,North John,Nebraska,64539,Moldova,2025-05-21,True
21,Hannah,Brewer,bwest@example.org,736-734-9578x8568,4431 Leslie Summit Apt. 337,Jennyhaven,Rhode Island,37594,Bolivia,2025-07-14,True
22,Kenneth,Ward,alexis82@example.com,6089427109,5204 Wilson Circles Suite 719,East Edwardshire,Maryland,11665,Egypt,2024-02-08,True
23,Kathy,Obrien,kimberlyjames@example.com,496-549-9091x3341,120 Hayes Ranch,Carterbury,Maine,93163,Finland,2025-04-10,False
24,Shawn,Mcdaniel,kristin93@example.com,683-624-2102,74648 Kim Rapid Apt. 659,Anthonybury,Utah,75893,Namibia,2025-10-09,True
25,Yvonne,Chambers,barbara27@example.net,+1-374-429-6717x5655,7468 Shawn Island Suite 516,Lake Mollymouth,Nebraska,07605,Comoros,2024-11-26,True
26,Cindy,Jimenez,nwolf@example.com,+1-424-677-1093,613 Steven Crest,South Sarah,Maine,67199,Romania,2024-05-31,True
27,Mary,Baird,stephenthomas@example.org,+1-982-414-6584x044,755 Gibson Islands Apt. 396,Port Kimberly,Arizona,42205,Samoa,2024-10-24,True
28,Robin,James,tylerjohnson@example.net,001-851-471-8702,4596 Melissa Walk,Finleyfort,Ohio,05206,Niger,2024-01-03,True
29,Crystal,Mccall,juliehamilton@example.org,001-517-824-0050x45562,21969 Tyler Prairie,East Steven,Kentucky,60737,Equatorial Guinea,2025-03-15,True
30,Rachel,Marshall,erica21@example.com,(894)764-7436x713,406 Smith Way Apt. 974,New Laurie,Iowa,83943,Comoros,2025-02-09,True
31,Erica,Le,courtneyberger@example.net,7478095214,28588 Rivas Glens,Coffeyport,West Virginia,44897,Spain,2024-02-06,False
32,Sydney,Taylor,michelleramsey@example.com,+1-751-660-4817,513 Johnson Points Suite 931,Blankenshipport,Tennessee,54017,Brazil,2024-02-24,True
33,Sophia,Torres,pwilson@example.net,(367)958-6926,0537 Sampson Walk Suite 158,Bruceview,Illinois,16512,Yemen,2025-07-25,True
34,Shawn,Bates,williamsmatthew@example.org,001-431-283-9335,28421 David Knolls Apt. 950,West Brian,West Virginia,55677,Malta,2024-02-05,True
35,Bryce,West,william17@example.net,890.884.7007,7115 Cameron Harbor,Oscarhaven,Maine,59970,Madagascar,2025-01-29,True
36,Cory,Miles,russellbeasley@example.com,376-361-5654x52711,52809 Santiago Loop Suite 604,Michaelshire,North Carolina,28385,Cape Verde,2025-03-08,True
37,Jeffrey,Rodriguez,danny49@example.org,(289)498-0940x24455,612 Christopher Pines,South Robert,Michigan,21132,Heard Island and McDonald Islands,2024-06-28,False
38,Mark,Pugh,wareeric@example.net,6145767976,6149 Rose Inlet,East Randallton,Alabama,27295,Gabon,2025-10-05,True
39,Katrina,Duran,mark07@example.net,(922)368-3885x16060,696 Roberts Lodge Apt. 529,Collierstad,Colorado,57741,Tanzania,2024-01-30,False
40,Ryan,Morales,fosterkyle@example.com,752.718.1883,12432 Kathleen Shoal,East Stephaniefort,New Jersey,99387,Mongolia,2025-05-22,True
41,Shane,Glass,michelle52@example.com,377-644-9058,0054 Deanna Walk Apt. 998,Fordside,West Virginia,05877,Korea,2025-09-08,True
42,Ashley,Lopez,dmason@example.com,451-782-0377,6659 Kristina Rue Suite 151,Mitchellberg,Michigan,11183,Myanmar,2025-03-13,True
43,Sabrina,Collins,tanderson@example.org,486-552-8168x5054,3322 Kenneth Turnpike Apt. 888,Lake Matthewberg,Rhode Island,49878,Cape Verde,2024-03-11,True
44,Marie,Wise,jenniferwilliams@example.com,+1-937-994-7383x47359,8862 Laurie Dam Suite 075,Lake Meghanville,Maine,11494,Serbia,2024-03-10,True
45,Shannon,Palmer,odavis@example.com,(206)706-8536x153,522 Justin Village,Hortonberg,Wisconsin,92977,Latvia,2024-10-06,True
46,Adam,Miller,jason28@example.net,+1-986-314-3410x369,9808 Jennifer Highway,Smithstad,Kansas,75299,Israel,2024-03-29,True
47,Elizabeth,Mills,carlos88@example.net,380.767.0654x05153,58527 Welch Valleys,North Jennifer,New Jersey,05348,French Polynesia,2024-04-09,True
48,Kylie,Blackwell,sarah86@example.net,940.834.5054x1566,77584 Jessica Common Suite 928,Manuelland,Massachusetts,87129,French Polynesia,2024-06-25,True
49,Carrie,Simmons,cbell@example.net,(996)240-1658x202,35569 Cassie Springs,Rushstad,New Hampshire,10578,Montserrat,2024-02-22,True
50,Michael,Edwards,john10@example.net,(578)668-1447,12172 Osborn Valleys Suite 518,Patriciaburgh,Virginia,93504,Vanuatu,2025-04-08,True
51,Grant,Ward,davidharris@example.org,470.358.9578,6786 Morrow Cliffs,West Dawn,New Hampshire,61558,Pitcairn Islands,2024-11-26,False
52,David,Calderon,katrinaanderson@example.net,7186242253,3842 Mendez Course,New Shelly,Georgia,22940,Palestinian Territory,2025-02-12,True
53,Rachel,Morgan,bryananthony@example.org,+1-594-839-6907x8447,1027 Washington Ford Suite 925,Jessicastad,Montana,17640,Senegal,2024-08-10,False
54,Anna,Flores,cmartinez@example.org,(710)746-9632,78774 Johnson Lock,Levyborough,Pennsylvania,46755,Australia,2023-12-20,True
