customer_name,email,order_id,order_date,product_name,quantity,price,total_amount_paid
Michael Smith,bgross@example.net,123,2025-11-11T19:28:23.729093,Configurable multi-state core Deluxe,5,83.01,7357.66
Michael Smith,bgross@example.net,123,2025-11-11T19:28:23.729093,Inverse empowering conglomeration Standard,3,941.41,7357.66
Michael Smith,bgross@example.net,123,2025-11-11T19:28:23.729093,Centralized didactic access Basic,4,558.45,7357.66
Michael Smith,bgross@example.net,123,2025-11-11T19:28:23.729093,Streamlined dynamic info-mediaries Premium,3,623.3,7357.66
Joseph Perry,yjones@example.org,119,2025-11-11T04:34:02.364486,Public-key content-based array Pro,4,332.28,0.0
Joseph Perry,yjones@example.org,119,2025-11-11T04:34:02.364486,Implemented discrete moderator Pro,3,794.17,0.0
Joseph Perry,yjones@example.org,119,2025-11-11T04:34:02.364486,Re-contextualized clear-thinking array Basic,3,446.46,0.0
Joseph Perry,yjones@example.org,119,2025-11-11T04:34:02.364486,Switchable heuristic Graphical User Interface Premium,4,322.59,0.0
Christian King,zacharygomez@example.com,141,2025-11-09T18:29:21.149000,Multi-channeled actuating interface Standard,3,80.49,0.0
Christian King,zacharygomez@example.com,141,2025-11-09T18:29:21.149000,Multi-channeled background Graphic Interface Premium,5,373.3,0.0
Christian King,zacharygomez@example.com,141,2025-11-09T18:29:21.149000,Quality-focused optimizing firmware Basic,2,311.1,0.0
Christian King,zacharygomez@example.com,141,2025-11-09T18:29:21.149000,Phased heuristic encryption Basic,1,386.05,0.0
Christian King,zacharygomez@example.com,141,2025-11-09T18:29:21.149000,Public-key content-based array Pro,2,332.28,0.0
Jerry Robinson,zimmermanbrian@example.org,97,2025-11-09T01:33:09.741756,Focused systemic algorithm Premium,5,68.78,376.53
Ashley Hoffman,johnadams@example.com,61,2025-11-08T23:04:09.324452,Expanded fault-tolerant Internet solution Premium,1,623.79,0.0
Ashley Hoffman,johnadams@example.com,61,2025-11-08T23:04:09.324452,Adaptive coherent firmware Basic,4,614.0,0.0
Sarah Garcia,josephpreston@example.net,88,2025-11-06T03:42:22.318543,User-centric optimal algorithm Deluxe,2,639.28,1310.25
Ryan Morales,fosterkyle@example.com,34,2025-11-03T22:48:45.938944,Secured tangible structure Premium,5,491.64,5802.93
Ryan Morales,fosterkyle@example.com,34,2025-11-03T22:48:45.938944,Profound real-time complexity Standard,2,536.68,5802.93
Ryan Morales,fosterkyle@example.com,34,2025-11-03T22:48:45.938944,Customizable encompassing approach Deluxe,5,330.22,5802.93
Ryan Morales,fosterkyle@example.com,34,2025-11-03T22:48:45.938944,Virtual needs-based middleware Pro,1,581.44,5802.93
Ryan Morales,fosterkyle@example.com,49,2025-11-03T14:47:49.614400,Stand-alone impactful attitude Standard,1,243.1,303.76
Michael Smith,bgross@example.net,85,2025-11-03T01:15:23.987935,Extended coherent middleware Pro,2,932.16,0.0
Michael Smith,bgross@example.net,85,2025-11-03T01:15:23.987935,Balanced foreground hardware Standard,3,640.03,0.0
